Time,IR Value
0.124,1200
0.241,1206
0.355,1202
0.476,1187
0.594,1214
0.715,1206
0.835,1203
0.955,1198
1.075,1197
1.195,1192
1.317,1199
1.434,1203
1.554,1185
1.674,1200
1.794,1202
1.914,1197
2.034,1192
2.154,1198
2.273,1205
2.392,1195
2.514,1209
2.632,1190
2.753,1205
2.872,1190
2.993,1175
3.111,1206
3.238,1200
3.352,1208
3.472,1209
3.595,1194
3.716,1199
3.831,1206
3.952,1186
4.071,1205
4.191,1198
4.311,1206
4.431,1192
4.551,1205
4.670,1207
4.790,1185
4.910,1205
5.030,1214
5.149,1199
5.270,1203
5.389,1202
5.509,1185
5.628,1188
5.749,1200
5.868,1208
5.989,1212
6.108,1197
6.229,1206
6.348,1208
6.468,1195
6.588,1198
6.710,1202
6.828,1200
6.948,1196
7.068,1198
7.187,1207
7.307,1187
7.445,1198
7.567,1206
7.692,1192
7.807,1197
7.927,1196
8.050,1203
8.166,1180
8.286,1201
8.405,1204
8.526,1214
8.645,1199
8.766,1186
8.884,1210
9.006,1203
9.124,1207
9.245,1214
9.367,1196
9.523,1182
9.644,1206
9.764,1187
9.883,1196
10.005,1212
10.123,1204
